Upregulated Proteins at 24hr,Downregulated Proteins at 24hr,Upregulated Proteins at 48hr,Downregulated Proteins at 48hr
CMPK2,,CMPK2,
IFIH1,,IFIH1,
IFIT1,,IFIT1,
IFIT2,,IFIT2,
IFIT3,,IFIT3,
MX1,,MX1,
MX2,,MX2,
NT5C3A,,,
OAS1,,OAS1,
PRKACA,,,
RIGI,,RIGI,
TXNRD2,,,
,CALCOCO1,,
,SLC30A1,,
,,EFL1,
,,EIF2AK2,
,,GBP1,
,,GBP5,
,,HLA-B,
,,IFI44,
,,IFI44L,
,,ISG15,
,,MARCKS,
,,NUB1,
,,OAS2,
,,OAS3,
,,OASL,
,,PARP14,
,,PARP9,
,,SIGLEC1,
,,SP110,
,,STAT1,
,,STAT2,
,,TDRD7,
,,UBE2L6,
,,,A2M
,,,DGKZ
,,,LPL
,,,PDXDC1
,,,PRKAA1
,,,SNCA
,,,UBXN7
,,,UCHL1
